Player,Superbowls,Age,Total Dollars,Average,Guaranteed
Jay Cutler,0,32,126700000,18100000.00,0.43
Joe Flacco,1,30,120600000,20100000.00,0.24
Colin Kaepernick,0,28,114000000,19000000.00,0.54
Aaron Rodgers,1,32,110000000,22000000.00,0.49
Tony Romo,0,35,108000000,18000000.00,0.51
Cam Newton,0,26,103800000,20760000.00,0.58
Matt Ryan,0,30,103750000,20750000.00,0.40
Drew Brees,1,36,100000000,20000000.00,0.40
Andy Dalton,0,28,96000000,16000000.00,0.18
Russell Wilson,1,27,87600000,21900000.00,0.70
Ben Roethlisberger,2,33,87400000,21850000.00,0.35
Eli Manning,2,34,84000000,21000000.00,0.77
Philip Rivers,0,34,83250000,20812500.00,0.78
Sam Bradford,0,28,78045000,13007500.00,0.64
Ryan Tannehill,0,27,77000000,19250000.00,0.58
Alex Smith,0,31,68000000,17000000.00,0.66
Matthew Stafford,0,27,53000000,17666667.00,0.78
Carson Palmer,0,35,49500000,16500000.00,0.41
Peyton Manning,1,39,34000000,17000000.00,0.44
Tom Brady,4,38,27000000,9000000.00,0.00
Jameis Winston,0,21,25351277,6337819.00,1.00
Nick Foles,0,26,24540000,12270000.00,0.56
Marcus Mariota,0,22,24213974,6053494.00,1.00
Andrew Luck,0,26,22107998,5527000.00,1.00
Robert Griffin III,0,25,21119098,5279775.00,1.00
Blake Bortles,0,23,20654810,5163703.00,1.00
Josh McCown,0,36,14000000,4666667.00,0.45
Brian Hoyer,0,30,10500000,5250000.00,0.45
Chase Daniel,0,29,10000000,3333333.00,0.48
Mark Sanchez,0,29,9000000,4500000.00,0.61
E.J. Manuel,0,25,8885300,2221325.00,1.00
Johnny Manziel,0,23,8248596,2062149.00,0.97
Drew Stanton,0,31,8200000,2733333.00,0.37
Chad Henne,0,30,8000000,4000000.00,0.56
Ryan Fitzpatrick,0,33,7250000,3625000.00,0.55
Teddy Bridgewater,0,24,6849502,1712376.00,0.80
Shaun Hill,0,35,6500000,3250000.00,0.49
Derek Carr,0,24,5371801,1342950.00,0.62
Geno Smith,0,25,5019603,1254901.00,0.61
Bruce Gradkowski,0,32,4950000,1650000.00,0.17
Derek Anderson,0,32,4700000,2350000.00,0.32
Charlie Whitehurst,0,33,4250000,2125000.00,0.47
Austin Davis,0,26,4050000,2025000.00,0.15
Blaine Gabbert,0,26,4000000,2000000.00,0.13
Brock Osweiler,0,25,3516678,879170.00,0.55
Jimmy Garoppolo,0,24,3483898,870975.00,0.32
Garrett Grayson,0,24,3400605,850151.00,0.22
Tyrod Taylor,0,26,3350000,1116667.00,0.34
Mike Glennon,0,25,3104062,776016.00,0.21
Sean Mannion,0,23,3075536,768884.00,0.20
Kellen Clemens,0,32,3000000,1500000.00,0.22
Matt Hasselbeck,0,40,3000000,3000000.00,0.33
Bryce Petty,0,24,2833697,708424.00,0.20
Matt Barkley,0,25,2739528,684882.00,0.18
Ryan Nassib,0,25,2613600,653400.00,0.17
Matt Moore,0,31,2600000,2600000.00,0.62
Landry Jones,0,26,2599220,649805.00,0.17
Kirk Cousins,0,27,2572688,643172.00,0.18
Tom Savage,0,25,2520584,630146.00,0.12
Brett Hundley,0,22,2503633,625908.00,0.09
Aaron Murray,0,25,2402424,600606.00,0.08
A.J. McCarron,0,25,2401652,600413.00,0.08
Zach Mettenberger,0,24,2345116,586279.00,0.05
Sean Renfree,0,25,2205896,551474.00,0.02
Matt Schaub,0,34,2000000,2000000.00,1.00
Matt Cassel,0,33,2000000,2000000.00,0.00
Tyler Bray,0,23,1925000,962500.00,0.00
Taylor Heinike,0,22,1585000,528333.00,0.01
Connor Shaw,0,24,1535000,511667.00,0.00
Tarvaris Jackson,0,32,1500000,1500000.00,1.00
Colt McCoy,0,29,1500000,1500000.00,0.10
Tyler Bray,0,23,1495000,498333.00,0.01
Matt McGloin,0,26,1485000,495000.00,0.00
Kellen Moore,0,26,1420000,710000.00,0.00
Scott Tolzien,0,28,1350000,1350000.00,0.07
Brandon Weeden,0,32,1230000,615000.00,0.00
Jimmy Clausen,0,28,1125000,1125000.00,0.23
David Fales,0,25,1110000,555000.00,0.00
Ryan Griffin,0,26,1100000,550000.00,0.00
Luke McCown,0,34,1050000,1050000.00,0.33
Dan Orlovsky,0,32,1050000,1050000.00,0.13
Michael Vick,0,35,970000,970000.00,0.00
Matt Flynn,0,30,870000,870000.00,0.00
Joe Webb,0,29,825000,825000.00,0.10
Thaddeus Lewis,0,28,745000,745000.00,0.00
T.J. Yates,0,28,745000,745000.00,0.00
Josh Johnson,0,29,745000,745000.00,0.00
Case Keenum,0,27,585000,585000.00,0.00
Dylan Thompson,0,24,435000,435000.00,0.00
